Country,Attention Index,Population,Vistors,Visitors per 100k
Argentina,29,45696159,7236,16
Australia,18,27196812,244338,898
Austria,11,9177982,15660,171
Bangladesh,34,173562364,23959,14
Belgium,12,11858610,19626,166
Brazil,36,211998573,33292,16
Bulgaria,17,6441421,6494,101
Cambodia,39,17638801,48084,273
Canada,20,41288599,254332,616
Chile,40,19764771,7035,36
China,85,19764771,4603273,23290
Colombia,34,52886363,11374,22
Denmark,19,5976992,15730,263
Egypt,7,18135478,6454,36
Finland,22,5619911,13895,247
France,21,68551653,164508,240
Germany,13,83516593,157185,188
Greece,12,10405134,10821,104
Hong Kong,21,10825703,571418,5278
Hungary,25,9562065,8843,92
India,22,1450935791,176668,12
Indonesia,31,283487931,336185,119
Ireland,13,5395790,12317,228
Israel,6,9974400,14789,148
Italy,8,58952704,63423,108
Japan,21,123975371,3224079,2601
Kazakhstan,30,20592571,54893,267
Kyrgyzstan,46,20592571,10691,52
Malaysia,25,35557673,300836,846
Mexico,50,130861007,57888,44
Morocco,8,38081173,4690,12
Nepal,21,29651054,40507,137
Netherlands,10,17993485,55038,306
New Zealand,20,5287500,42177,798
Norway,19,5572279,12192,219
Pakistan,13,251269164,15842,6
Peru,59,34217848,5623,16
Philippines,49,115843670,516760,446
Poland,18,36559233,43539,119
Portugal,21,10694681,13919,130
Romania,28,19051804,16017,84
Russia,21,19051804,197198,1035
Saudi Arabia,9,35300280,22651,64
Singapore,22,6036860,375428,6219
South Africa,14,64007187,16553,26
Spain,28,48848840,47031,96
Sri Lanka,23,21916000,27666,126
Sweden,19,10569709,20837,197
Switzerland,13,9005582,25819,287
Taiwan,15,9005582,1473908,16367
Thailand,18,71668011,323856,452
Ukraine,22,37860221,22414,59
United Arab Emirates,18,10986400,8946,81
United Kingdom,13,69226000,147493,213
United States,24,340110988,1320108,388
Uzbekistan,30,36361859,59501,164
Vietnam,8,36361859,511420,1406
